id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
63593,17-06-2019 13:56,Stray,0,C1906848,,Bristol,Domestic Short Hair,Tabbico,Cat,1 year 1 month.,Female,Cat room A,28-06-2019 00:00,Foster,0,,Stray,,Court Order/ Legal,0,0,0
63594,17-06-2019 15:16,Stray,0,D1906849,0A13585A09,Francis,Beagle/Mix,Brindle and White,Dog,6 years 0 months.,Female,Dog room A,18-06-2019 00:00,Reclaimed,0,,Stray,,Court Order/ Legal,0,0,0
63596,17-06-2019 16:11,Stray,0,D1906851,9.8102E+14,Vinnie,Beagle,"Brown, Black and White",Dog,1 year 11 months.,Male,Adoptable Dogs,01-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63600,19-06-2019 08:59,Stray,0,C1906852,,Wyatt,Domestic Short Hair,Black,Cat,4 years 0 months.,Male,Cat room C,02-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63601,19-06-2019 12:06,Stray,0,D1906848,9.8102E+14,Moira Rose,Walker Hound,Tricolour,Dog,3 years 2 months.,Female,Adoptable Dogs,08-07-2019 00:00,Adoption,0,19-07-2019 00:00,Return Adopt - Behavior,,Court Order/ Legal,0,0,0
63601,19-06-2019 12:06,Stray,0,D1906848,9.8102E+14,Moira Rose,Walker Hound,Tricolour,Dog,3 years 2 months.,Female,Adoptable Dogs,13-08-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63602,19-06-2019 12:43,Stray,0,D1906853,9.8102E+14,Walter,Husky,White,Dog,3 years 1 month.,Male,Lobby,03-07-2019 00:00,Foster,0,16-07-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63602,19-06-2019 12:43,Stray,0,D1906853,9.8102E+14,Walter,Husky,White,Dog,3 years 1 month.,Male,Lobby,17-07-2019 00:00,Foster,0,23-07-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63602,19-06-2019 12:43,Stray,0,D1906853,9.8102E+14,Walter,Husky,White,Dog,3 years 1 month.,Male,Lobby,23-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63607,19-06-2019 17:19,Stray,0,D1906854,9.8102E+14,Daphne,Shiba Inu/Mix,Red,Dog,3 years 0 months.,Female,Adoptable Dogs,05-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63608,19-06-2019 17:19,Stray,0,D1906856,9.8102E+14,Velma,Shiba Inu/Mix,Red,Dog,18 weeks.,Female,Adoptable Dogs,29-06-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63609,19-06-2019 17:19,Stray,0,D1906857,9.8102E+14,Ferddie,Shiba Inu/Mix,Red,Dog,18 weeks.,Female,Adoptable Dogs,30-06-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63610,19-06-2019 17:19,Stray,0,D1906858,9.8102E+14,Shaggy,Shiba Inu/Mix,Red,Dog,20 weeks.,Male,Adoptable Dogs,28-06-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63621,20-06-2019 13:15,Sick/Injured,0,C1906849,9.8102E+14,Danielle Glover,Domestic Short Hair,Black,Cat,10 weeks.,Female,Adoptable window colony,22-06-2019 00:00,Foster,0,23-06-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63621,20-06-2019 13:15,Sick/Injured,0,C1906849,9.8102E+14,Danielle Glover,Domestic Short Hair,Black,Cat,10 weeks.,Female,Adoptable window colony,23-06-2019 00:00,Foster,0,12-07-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63621,20-06-2019 13:15,Sick/Injured,0,C1906849,9.8102E+14,Danielle Glover,Domestic Short Hair,Black,Cat,10 weeks.,Female,Adoptable window colony,13-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63623,20-06-2019 13:51,Litter relinquishment,0,C1906851,9.8102E+14,Boris,Domestic Short Hair,Black,Cat,12 weeks.,Male,Adoptable Cat Small Colony,24-06-2019 00:00,Foster,0,11-07-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63623,20-06-2019 13:51,Litter relinquishment,0,C1906851,9.8102E+14,Boris,Domestic Short Hair,Black,Cat,12 weeks.,Male,Adoptable Cat Small Colony,20-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63624,20-06-2019 13:51,Litter relinquishment,0,C1906853,9.8102E+14,Norris,Domestic Short Hair,Black,Cat,12 weeks.,Male,Adoptable window colony,24-06-2019 00:00,Foster,0,11-07-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63624,20-06-2019 13:51,Litter relinquishment,0,C1906853,9.8102E+14,Norris,Domestic Short Hair,Black,Cat,12 weeks.,Male,Adoptable window colony,20-07-2019 00:00,Adoption,0,03-08-2019 00:00,Incompatible with other pets,,Court Order/ Legal,0,0,0
